Kanji,Romaji
四肢,shishi
肢体,shitai
仕事,shigoto
記事,kiji
事故,jiko
侍る,haberu
侍女,jijo
侍医,jii
政治,seiji
治療,chiryou
明治,meiji
実際,jissai
実は,jitsuha
現実,genjitsu
田舎,inaka
宿舎,shukusha
校舎,kousha
作者,sakusha
読者,dokusha
患者,kanja
風邪,kaze
邪魔,jama
無邪気,mujaki
若い,wakai
若干,jakkan
若者,wakamono
取っ,to
取り,tori
取得,shutoku
受け,uke
受ける,ukeru
受け入れ,ukeire
呪い,noroi
呪文,jumon
呪術,jujutsu
周り,mawari
周辺,shuuhen
周囲,shuui
宗教,shuukyou
宗派,shuuha
改宗,kaishuu
大叔父,oooji
大叔母,oooba
記述,kijutsu
前述,zenjutsu
述べる,noberu
場所,basho
近所,kinjo
事務所,jimusho
尚更,naosara
和尚,oshou
高尚,koushou
招待,shoutai
招き,maneki
招く,maneku
了承,ryoushou
承知,shouchi
継承,keishou
上昇,joushou
急上昇,kyuujoushou
昇格,shoukaku
浜松,hamamatsu
小松,komatsu
松原,matsubara
泥沼,doronuma
沼田,numata
沼地,numachi
垂直,suichoku
垂れ,tare
垂れ流し,tarenagashi
自炊,jisui
炊飯,suihan
炊き出し,takidashi
中枢,chuusuu
枢機卿,suukikyou
枢軸,suujiku
制作,seisaku
制限,seigen
制度,seido
百姓,hyakushou
同姓,dousei
旧姓,kyuusei
遠征,ensei
征服,seifuku
征伐,seibatsu
女性,josei
男性,dansei
性能,seinou
青年,seinen
青い,aoi
青春,seishun
一斉,issei
斉唱,seishou
昔ながら,mukashinagara
一昔,hitomukashi
大昔,oomukashi
分析,bunseki
解析,kaiseki
透析,touseki
拙宅,settaku
稚拙,chisetsu
拙い,tsutanai
狙い,nerai
狙う,nerau
狙撃,sogeki
阻止,soshi
阻害,sogai
阻む,habamu
卒業,sotsugyou
卒業生,sotsugyousei
新卒,shinsotsu
食卓,shokutaku
卓球,takkyuu
卓越,takuetsu
開拓,kaitaku
拓く,hiraku
干拓,kantaku
担当,tantou
負担,futan
担保,tanpo
知識,chishiki
知る,shiru
お知らせ,oshirase
宇宙,uchuu
宇宙船,uchuusen
小宇宙,shouuchuu
忠実,chuujitsu
忠誠,chuusei
忠告,chuukoku
抽象,chuushou
抽選,chuusen
抽出,chuushutsu
注意,chuui
注目,chuumoku
注文,chuumon
長い,nagai
成長,seichou
社長,shachou
正直,shoujiki
直接,chokusetsu
直後,chokugo
坪数,tsubosuu
設定,settei
予定,yotei
決定,kettei
徹底的,tetteiteki
徹底,tettei
到底,toutei
抵抗,teikou
大抵,taitei
抵触,teishoku
官邸,kantei
邸宅,teitaku
豪邸,goutei
泥棒,dorobou
泥沼,doronuma
汚泥,odei
目的,mokuteki
比較的,hikakuteki
自動的,jidouteki
更迭,koutetsu
特典,tokuten
典型,tenkei
古典,koten
店舗,tenpo
店員,ten'in
店内,tennai
嫉妬,shitto
妬み,netami
妬む,netamu
東京,toukyou
東北,touhoku
東日本,higashinihon
到着,touchaku
到達,toutatsu
到底,toutei
中毒,chuudoku
気の毒,kinodoku
消毒,shoudoku
突然,totsuzen
突入,totsunyuu
衝突,shoutotsu
届く,todoku
届ける,todokeru
届け出,todokede
奈良,nara
奈落,naraku
牛乳,gyuunyuu
豆乳,tounyuu
授乳,junyuu
残念,zannen
記念,kinen
概念,gainen
津波,tsunami
電波,denpa
周波数,shuuhasuu
拝見,haiken
参拝,sanpai
礼拝,reihai
精一杯,seiippai
乾杯,kanpai
一杯,ippai
拍手,hakushu
拍子,hyoushi
心拍,shinpaku
宿泊,shukuhaku
泊まり,tomari
泊まる,tomaru
迫力,hakuryoku
圧迫,appaku
迫る,semaru
看板,kanban
掲示板,keijiban
基板,kiban
出版,shuppan
版画,hanga
絶版,zeppan
彼女,kanojo
彼ら,karera
彼氏,kareshi
披露,hirou
披露宴,hirouen
お披露目,ohirome
肥満,himan
肥料,hiryou
肥大,hidai
非常,hijou
是非,zehi
非難,hinan
分泌,bunpitsu
泌尿器,hinyouki
内分泌,naibunpitsu
表示,hyouji
表現,hyougen
発表,happyou
早苗,sanae
苗木,naegi
苗床,naedoko
政府,seifu
都道府県,todoufuken
幕府,bakufu
怖い,kowai
恐怖,kyoufu
恐怖症,kyoufushou
岐阜,gifu
侮辱,bujoku
侮蔑,bubetsu
侮る,anadoru
武器,buki
武装,busou
武将,bushou
洋服,youfuku
服装,fukusou
克服,kokufuku
沸騰,futtou
沸く,waku
沸き,waki
物語,monogatari
物質,busshitsu
建物,tatemono
合併,gappei
併用,heiyou
併設,heisetsu
並ぶ,narabu
並び,narabi
並行,heikou
散歩,sanpo
歩く,aruku
歩き,aruki
奉仕,houshi
奉納,hounou
信奉,shinpou
重宝,chouhou
宝石,houseki
宝物,takaramono
抱え,kakae
抱っこ,dakko
抱える,kakaeru
放送,housou
放射線,houshasen
放射能,houshanou
方法,houhou
法人,houjin
手法,shuhou
気泡,kihou
発泡,happou
発泡スチロール,happousuchirooru
暖房,danbou
工房,koubou
官房,kanbou
脂肪,shibou
脂肪酸,shibousan
皮下脂肪,hikashibou
牧場,bokujou
牧師,bokushi
牧草,bokusou
奔走,honsou
奔放,honpou
奔馬,honba
姉妹,shimai
義妹,gimai
兄妹,keimai
枚数,maisuu
枚挙,maikyo
一枚岩,ichimaiiwa
枕元,makuramoto
枕詞,makurakotoba
水枕,mizumakura
抹茶,matcha
抹殺,massatsu
一抹,ichimatsu
意味,imi
興味,kyoumi
美味しい,oishii
生命,seimei
一生懸命,isshoukenmei
革命,kakumei
説明,setsumei
明日,ashita
明らか,akiraka
免許,menkyo
免疫,men'eki
免除,menjo
茂み,shigemi
生い茂る,oishigeru
茂る,shigeru
盲点,mouten
盲目,moumoku
盲導犬,moudouken
専門,senmon
部門,bumon
入門,nyuumon
深夜,shin'ya
今夜,kon'ya
夜中,yonaka
弥生,yayoi
弥勒,miroku
阿弥陀,amida
醤油,shouyu
石油,sekiyu
油断,yudan
拉致,rachi
林檎,ringo
森林,shinrin
林道,rindou
例えば,tatoeba
事例,jirei
例外,reigai
炉心,roshin
暖炉,danro
囲炉裏,irori
昭和,shouwa
平和,heiwa
違和感,iwakan
枠組み,wakugumi
大枠,oowaku
別枠,betsuwaku
可哀想,kawaisou
哀れ,aware
哀愁,aishuu
脅威,kyoui
権威,ken'i
威力,iryoku
行為,koui
為替,kawase
所為,sei
畏敬,ikei
畏怖,ifu
胃腸,ichou
胃袋,ibukuro
胃潰瘍,ikaiyou
嗚咽,oetsu
耳鼻咽喉科,jibiinkouka
咽喉,inkou
婚姻,kon'in
映画,eiga
映像,eizou
反映,han'ei
栄養,eiyou
栄養素,eiyouso
繁栄,han'ei
免疫,men'eki
疫学,ekigaku
検疫,ken'eki
怨念,onnen
怨恨,enkon
私怨,shien
部屋,heya
名古屋,nagoya
屋根,yane
卸売,oroshiuri
棚卸,tanaoroshi
卸業者,oroshigyousha
音楽,ongaku
音声,onsei
録音,rokuon
科学,kagaku
教科書,kyoukasho
学科,gakka
架空,kakuu
十字架,juujika
高架,kouka
後悔,koukai
悔しい,kuyashii
悔い,kui
海外,kaigai
北海道,hokkaidou
海岸,kaigan
世界,sekai
業界,gyoukai
世界中,sekaijuu
皆さん,minasan
皆様,minasama
皆無,kaimu
垣根,kakine
石垣,ishigaki
垣間見る,kaimamiru
柿の木,kakinoki
干し柿,hoshigaki
渋柿,shibugaki
革命,kakumei
改革,kaikaku
革新,kakushin
一括,ikkatsu
包括,houkatsu
総括,soukatsu
生活,seikatsu
活動,katsudou
活用,katsuyou
冠水,kansui
王冠,oukan
栄冠,eikan
巻頭,kantou
取り巻く,torimaku
圧巻,akkan
看板,kanban
看護,kango
看病,kanbyou
世紀,seiki
紀行,kikou
紀元前,kigenzen
軌道,kidou
軌跡,kiseki
常軌,jouki
お客様,okyakusama
顧客,kokyaku
観客,kankyaku
逆転,gyakuten
逆説,gyakusetsu
逆行,gyakkou
虐待,gyakutai
虐殺,gyakusatsu
残虐,zangyaku
緊急,kinkyuu
急遽,kyuukyo
急速,kyuusoku
高級,koukyuu
同級生,doukyuusei
階級,kaikyuu
糾弾,kyuudan
紛糾,funkyuu
海峡,kaikyou
峡谷,kyoukoku
山峡,sankyou
挟む,hasamu
板挟み,itabasami
挟み込む,hasamikomu
狭い,semai
狭間,hazama
狭義,kyougi
軍事,gunji
軍隊,guntai
海軍,kaigun
関係,kankei
係る,kakaru
無関係,mukankei
大型,oogata
小型,kogata
典型,tenkei
契約,keiyaku
契機,keiki
契り,chigiri
計画,keikaku
計算,keisan
設計,sekkei
建物,tatemono
建築,kenchiku
建設,kensetsu
研究,kenkyuu
研修,kenshuu
研究所,kenkyuusho
県内,kennai
県民,kenmin
都道府県,todoufuken
限り,kagiri
限定,gentei
制限,seigen
孤独,kodoku
孤立,koritsu
孤児,koji
括弧,kakko
事故,jiko
何故,naze
何故か,nazeka
枯葉,kareha
枯渇,kokatsu
木枯らし,kogarashi
最後,saigo
その後,sonoato
今後,kongo
侯爵,koushaku
王侯,oukou
濃厚,noukou
厚み,atsumi
厚生,kousei
恒例,kourei
恒久,koukyuu
恒常,koujou
洪水,kouzui
天皇,tennou
皇帝,koutei
皇居,koukyo
紅茶,koucha
紅葉,kouyou
紅白,kouhaku
荒れ,are
荒い,arai
荒らし,arashi
郊外,kougai
近郊,kinkou
香り,kaori
香港,honkon
香水,kousui
拷問,goumon
恨み,urami
痛恨,tsuukon
恨めしい,urameshii
調査,chousa
検査,kensa
審査,shinsa
砂糖,satou
砂漠,sabaku
砂浜,sunahama
粉砕,funsai
砕け,kudake
玉砕,gyokusai
削除,sakujo
削減,sakugen
削り,kezuri
昨日,kinou
昨年,sakunen
一昨日,ototoi
鉄柵,tessaku
咲く,saku
咲き誇る,sakihokoru
咲かせる,sakaseru
挨拶,aisatsu
姿勢,shisei
容姿,youshi
後ろ姿,ushirosugata
思い,omoi
思う,omou
不思議,fushigi
指定,shitei
指摘,shiteki
指導,shidou
施設,shisetsu
実施,jisshi
施し,hodokoshi
気持ち,kimochi
持つ,motsu
持ち,mochi
教室,kyoushitsu
室内,shitsunai
寝室,shinshitsu
狩り,kari
狩猟,shuryou
狩人,karyuudo
首相,shushou
首都,shuto
手首,tekubi
拾い,hiroi
拾う,hirou
収拾,shuushuu
秋風,akikaze
千秋楽,senshuuraku
秋月,shuugetsu
臭い,kusai
臭み,kusami
体臭,taishuu
柔軟,juunan
柔らかい,yawarakai
柔らか,yawaraka
重要,juuyou
体重,taijuu
重い,omoi
お祝い,oiwai
祝日,shukujitsu
祝福,shukufuku
俊秀,shunshuu
俊英,shun'ei
俊足,shunsoku
青春,seishun
春風,harukaze
春先,harusaki
矛盾,mujun
叙情,jojou
叙述,jojutsu
叙景,jokei
昭和,shouwa
乗り,nori
乗る,noru
乗り換え,norikae
平城,hirajiro
長城,choujou
牙城,gajou
浄化,jouka
洗浄,senjou
浄水,jousui
払拭,fusshoku
拭き,fuki
拭く,fuku
食事,shokuji
食べる,taberu
食べ物,tabemono
侵害,shingai
侵入,shinnyuu
侵略,shinryaku
通信,tsuushin
自信,jishin
信頼,shinrai
津波,tsunami
興味津々,kyoumishinshin
天津,tenshin
精神,seishin
神社,jinja
神戸,koube
甚大,jindai
甚だ,hanahada
甚だしい,hanahadashii
総帥,sousui
元帥,gensui
統帥,tousui
是非,zehi
是非とも,zehitomo"no"",for,an,answer)"
是正,zesei
政府,seifu
政治,seiji
政権,seiken
惑星,wakusei
衛星,eisei
彗星,suisei
犠牲,gisei
反省,hansei
省略,shouryaku
帰省,kisei
窃盗,settou
剽窃,hyousetsu
宣言,sengen
宣伝,senden
宣告,senkoku
専門,senmon
専用,sen'you
専攻,senkou
温泉,onsen
源泉,gensen
泉水,sensui
浅い,asai
浅はか,asahaka
浅見,senken
洗濯,sentaku
洗う,arau
洗練,senren
汚染,osen
感染,kansen
馴染み,najimi
以前,izen
名前,namae
前回,zenkai
祖母,sobo
祖父,sofu
先祖,senzo
演奏,ensou
奏者,sousha
伴奏,bansou
相手,aite
相当,soutou
首相,shushou
別荘,bessou
荘厳,sougon
山荘,sansou
煙草,tabako
雑草,zassou
ほうれん草,hourensou
放送,housou
送信,soushin
送る,okuru
促進,sokushin
促す,unagasu
催促,saisoku
原則,gensoku
法則,housoku
規則,kisoku
世俗,sezoku
風俗,fuuzoku
民俗,minzoku
耐久,taikyuu
耐える,taeru
忍耐,nintai
期待,kitai
待ち,machi
待つ,matsu
倦怠,kentai
怠惰,taida
怠慢,taiman
胎児,taiji
換骨奪胎,kankotsudattai
胎動,taidou
退職,taishoku
引退,intai
撤退,tettai
簡単,kantan
単純,tanjun
単に,tanni
炭酸,tansan
炭水化物,tansuikabutsu
二酸化炭素,nisankatanso
大胆,daitan
落胆,rakutan
魂胆,kontan
普段,fudan
値段,nedan
段階,dankai
お茶,ocha
紅茶,koucha
喫茶店,kissaten
お昼,ohiru
昼間,hiruma
昼食,chuushoku
支柱,shichuu
電柱,denchuu
人柱,hitobashira
挑戦,chousen
挑む,idomu
挑発,chouhatsu
勅使,chokushi
勅撰,chokusen
珍しい,mezurashii
珍重,chinchou
珍味,chinmi
追加,tsuika
追記,tsuiki
追求,tsuikyuu
料亭,ryoutei
亭主,teishu
亭主関白,teishukanpaku
童貞,doutei
貞治,jouji
貞操,teisou
帝国,teikoku
皇帝,koutei
ローマ帝国,roomateikoku
訂正,teisei
改訂,kaitei
時点,jiten
視点,shiten
現時点,genjiten
程度,teido
今度,kondo
一度,ichido
怒り,ikari
怒る,okoru
激怒,gekido
逃げ,nige
逃げる,nigeru
見逃し,minogashi
洞窟,doukutsu
洞察,dousatsu
空洞,kuudou
碓氷峠,usuitouge
独自,dokuji
独立,dokuritsu
独特,dokutoku
南部,nanbu
南山,nanzan
南アフリカ,minamiafurika
虹彩,kousai
虹鱒,nijimasu
派遣,haken
立派,rippa
派手,hade
背景,haikei
背中,senaka
背後,haigo
肺炎,haien
心肺,shinpai
肺がん,haigan
田畑,tahata
花畑,hanabatake
麦畑,mugibatake
原発,genpatsu
開発,kaihatsu
発表,happyou
卑怯,hikyou
卑屈,hikutsu
卑下,hige
飛行機,hikouki
飛ぶ,tobu
飛行,hikou
眉毛,mayuge
眉間,miken
白眉,hakubi
美味しい,oishii
美しい,utsukushii
美容,biyou
毎秒,maibyou
秒読み,byouyomi
秒速,byousoku
作品,sakuhin
商品,shouhin
製品,seihin
訃報,fuhou
負け,make
負担,futan
勝負,shoubu
赴任,funin
赴く,omomuku
封印,fuuin
開封,kaifuu
封筒,fuutou
風呂,furo
風景,fuukei
風邪,kaze
事柄,kotogara
人柄,hitogara
銘柄,meigara
大変,taihen
変更,henkou
変化,henka
便利,benri
郵便,yuubin
不便,fuben
保存,hozon
保護,hogo
保険,hoken
細胞,saibou
同胞,douhou
単細胞,tansaibou
某所,bousho
某氏,boushi
某社,bousha
冒頭,boutou
冒険,bouken
冒涜,boutoku
勃起,bokki
勃発,boppatsu
勃興,bokkou
お盆,obon
盆踊り,bon'odori
盆地,bonchi
曖昧,aimai
三昧,sanmai
蒙昧,moumai
迷惑,meiwaku
迷い,mayoi
迷う,mayou
画面,gamen
面白い,omoshiroi
面倒,mendou
予約,yoyaku
契約,keiyaku
約束,yakusoku
勇気,yuuki
勇者,yuusha
勇敢,yuukan
幽霊,yuurei
幽玄,yuugen
幽閉,yuuhei
洋服,youfuku
西洋,seiyou
太平洋,taiheiyou
必要,hitsuyou
重要,juuyou
要素,youso
法律,houritsu
旋律,senritsu
自律,jiritsu
川柳,senryuu
青柳,aoyagi
柳樽,yanagidaru
僧侶,souryo
伴侶,hanryo
野郎,yarou
新郎,shinrou
三郎,saburou
挨拶,aisatsu
提案,teian
案内,annai
案外,angai
委員,iin
全員,zen'in
議員,giin
病院,byouin
入院,nyuuin
大学院,daigakuin
小唄,kouta
長唄,nagauta
地唄,jiuta
津々浦々,tsutsuuraura
利益,rieki
収益,shuueki
有益,yuueki
満悦,man'etsu
悦楽,etsuraku
愉悦,yuetsu
披露宴,hirouen
饗宴,kyouen
桜花,ouka
桜餅,sakuramochi
葉桜,hazakura
塞翁が馬,saiougauma
老翁,rouou
恩恵,onkei
恩返し,ongaeshi
恩師,onshi
夏休み,natsuyasumi
真夏,manatsu
夏場,natsuba
家族,kazoku
家庭,katei
我が家,wagaya
荷物,nimotsu
負荷,fuka
入荷,nyuuka
豪華,gouka
華やか,hanayaka
華麗,karei
蚊帳,kaya
蚊取り線香,katorisenkou
被害,higai
障害,shougai
災害,saigai
価格,kakaku
性格,seikaku
本格,honkaku
核兵器,kakuheiki
核分裂,kakubunretsu
核種,kakushu
株式,kabushiki
株式会社,kabushikigaisha
株主,kabunushi
後釜,atogama
塩釜,shiogama
釜飯,kamameshi
陥る,ochiiru
欠陥,kekkan
陥落,kanraku
既に,sudeni
既存,kison
既成,kisei
記事,kiji
記憶,kioku
記録,kiroku
起動,kidou
起こし,okoshi
起こる,okoru
飢え,ue
飢餓,kiga
飢饉,kikin
吸血鬼,kyuuketsuki
鬼門,kimon
餓鬼,gaki
帰り,kaeri
帰宅,kitaku
帰る,kaeru
子宮,shikyuu
宮殿,kyuuden
神宮,jinguu
選挙,senkyo
挙動,kyodou
挙句,ageku
恐怖,kyoufu
恐れ,osore
恐ろしい,osoroshii
恭順,kyoujun
胸元,munamoto
度胸,dokyou
胸水,kyousui
脅威,kyoui
脅迫,kyouhaku
脅し,odoshi
訓練,kunren
教訓,kyoukun
特訓,tokkun
郡司,gunji
知恵,chie
恩恵,onkei
恵比寿,ebisu
桁違い,ketachigai
桁外れ,ketahazure
橋桁,hashigeta
倹約,ken'yaku
兼用,ken'you
兼ね合い,kaneai
気兼ね,kigane
真剣,shinken
剣道,kendou
剣士,kenshi
拳銃,kenjuu
太極拳,taikyokuken
鉄拳,tekken
軒並み,nokinami
一軒家,ikken'ya
軒先,nokisaki
原発,genpatsu
原因,gen'in
原子力,genshiryoku
個人,kojin
個性,kosei
個々,koko
冷蔵庫,reizouko
在庫,zaiko
文庫,bunko
娯楽,goraku
覚悟,kakugo
悟り,satori
悟る,satoru
候補,kouho
気候,kikou
天候,tenkou
学校,gakkou
小学校,shougakkou
高校生,koukousei
農耕,noukou
耕作,kousaku
耕地,kouchi
航空,koukuu
航空機,koukuuki
航海,koukai
貢献,kouken
年貢,nengu
朝貢,choukou
以降,ikou
降り,furi
降る,furu
高い,takai
最高,saikou
高速,kousoku
剛力,gouriki
剛性,gousei
剛毛,goumou
骨折,kossetsu
骨盤,kotsuban
骨格,kokkaku
根拠,konkyo
根本,kongen
屋根,yane
示唆,shisa
差別,sabetsu
日差し,hizashi
格差,kakusa
講座,kouza
口座,kouza
銀座,ginza
挫折,zasetsu
捻挫,nenza
頓挫,tonza
主宰,shusai
宰相,saishou
大宰府,dazaifu
栽培,saibai
盆栽,bonsai
洗剤,senzai
薬剤,yakuzai
薬剤師,yakuzaishi
財政,zaisei
財布,saifu
財産,zaisan
検索,kensaku
模索,mosaku
探索,tansaku
殺し,koroshi
自殺,jisatsu
殺人,satsujin
桟橋,sanbashi
桟敷,sajiki
養蚕,yousan
蚕室,sanshitsu
残念,zannen
残り,nokori
残る,nokoru
医師,ishi
教師,kyoushi
講師,koushi
恣意,shii
放恣,houshi
手紙,tegami
表紙,hyoushi
用紙,youshi
脂肪,shibou
樹脂,jushi
油脂,yushi
時間,jikan
時代,jidai
当時,touji
疾患,shikkan
疾走,shissou
疾病,shippei
放射線,houshasen
放射能,houshanou
放射,housha
借り,kari
借金,shakkin
借りる,kariru
晩酌,banshaku
斟酌,shinshaku
酌量,shakuryou
弱い,yowai
弱点,jakuten
脆弱,zeijaku
特殊,tokushu
殊に,kotoni
殊更,kotosara
真珠,shinju
曼珠沙華,manjushage
珠玉,shugyoku
居酒屋,izakaya
酒造,shuzou
飲酒,inshu
修正,shuusei
修理,shuuri
研修,kenshuu
長袖,nagasode
半袖,hansode
袖口,sodeguchi
従来,juurai
従業,juugyou
に従って,nishitagatte
批准,hijun
殉教者,junkyousha
殉職,junshoku
殉死,junshi
単純,tanjun
純粋,junsui
純正,junsei
書く,kaku
書籍,shoseki
本書,honsho
徐々に,jojoni
徐行,jokou
掃除,souji
削除,sakujo
解除,kaijo
今宵,koyoi
春宵,shunshou
宵越し,yoigoshi
将来,shourai
武将,bushou
将軍,shougun
消費,shouhi
解消,kaishou
消化,shouka
症状,shoujou
発症,hasshou
炎症,enshou
発祥,hasshou
不祥事,fushouji
吉祥,kisshou
名称,meishou
通称,tsuushou
自称,jishou
笑顔,egao
笑い,warai
苦笑,kushou
屈辱,kutsujoku
侮辱,bujoku
雪辱,setsujoku
上唇,uwakuchibiru
口唇,koushin
妊娠,ninshin
振り,furi
振動,shindou
振り返る,furikaeru
浸透,shintou
浸水,shinsui
浸る,hitaru
写真,shashin
真ん中,mannaka
真実,shinjitsu
方針,houshin
指針,shishin
針金,harigane
陣営,jin'ei
陣痛,jintsuu
退陣,taijin
純粋,junsui
抜粋,bassui
生粋,kissui
衰え,otoroe
衰退,suitai
減衰,gensui
凄い,sugoi
凄く,sugoku
物凄い,monosugoi
逝去,seikyo
急逝,kyuusei
夭逝,yousei
出席,shusseki
座席,zaseki
客席,kyakuseki
脊椎,sekitsui
脊髄,sekizui
脊椎動物,sekitsuidoubutsu
扇風機,senpuuki
換気扇,kankisen
扇子,sensu
血栓,kessen
消火栓,shoukasen
租税,sozei
素晴らしい,subarashii
素敵,suteki
要素,youso
鎌倉,kamakura
倉庫,souko
倉敷,kurashiki
捜査,sousa
捜索,sousaku
特捜,tokusou
挿入,sounyuu
挿絵,sashie
挿す,sasu
桑原,kuwabara
桑田,souden
構造,kouzou
創造,souzou
製造,seizou
息子,musuko
一息,hitoiki
生息,seisoku
捉える,toraeru
捕捉,hosoku
高速,kousoku
早速,sassoku
速度,sokudo
子孫,shison
お孫さん,omagosan
孫娘,magomusume
携帯,keitai
地帯,chitai
世帯,setai
安泰,antai
泰山,taizan
泰西,taisei
委託,itaku
託児,takuji
信託,shintaku
価値,kachi
値段,nedan
数値,suuchi
恥ずかしい,hazukashii
羞恥,shuuchi
恥辱,chijoku
一致,itchi
致命,chimei
拉致,rachi
家畜,kachiku
畜産,chikusan
鬼畜,kichiku
駆逐,kuchiku
逐一,chikuichi
逐次,chikuji
秩序,chitsujo
無秩序,muchitsujo
折衷,setchuu
和洋折衷,wayousetchuu
衷心,chuushin
焼酎,shouchuu
進捗,shinchoku
捗る,hakadoru
普通,futsuu
通り,toori
通常,tsuujou
家庭,katei
庭園,teien
箱庭,hakoniwa
逓減,teigen
哲学,tetsugaku
変哲,hentetsu
哲人,tetsujin
展開,tenkai
展示,tenji
発展,hatten
生徒,seito
徒歩,toho
教徒,kyouto
途中,tochuu
中途半端,chuutohanpa
用途,youto
面倒,mendou
圧倒的,attouteki
倒れ,taore
冷凍,reitou
解凍,kaitou
凍結,touketsu
唐辛子,tougarashi
唐突,toutotsu
荒唐無稽,koutoumukei
広島,hiroshima
中島,nakajima
小島,kojima
桃色,momoiro
桃源郷,tougenkyou
扁桃腺,hentousen
検討,kentou
討論,touron
討伐,toubatsu
透明,toumei
浸透,shintou
透過,touka
民主党,minshutou
政党,seitou
野党,yatou
胴体,doutai
胴上げ,douage
胴元,doumoto
匿名,tokumei
秘匿,hitoku
隠匿,intoku
特に,tokuni
特別,tokubetsu
特徴,tokuchou
悩み,nayami
悩む,nayamu
苦悩,kunou
納得,nattoku
格納,kakunou
収納,shuunou
可能,kanou
機能,kinou
能力,nouryoku
破壊,hakai
破綻,hatan
突破,toppa
馬鹿,baka
競馬,keiba
馬券,baken
俳句,haiku
俳人,haijin
俳優,haiyuu
心配,shinpai
配信,haishin
支配,shihai
倍増,baizou
倍率,bairitsu
人一倍,hitoichibai
梅雨,tsuyu
梅干し,umeboshi
梅酒,umeshu
班長,hanchou
首班,shuhan
湖畔,kohan
河畔,kahan
一般,ippan
全般,zenpan
一般人,ippanjin
疲れ,tsukare
疲労,hirou
お疲れ様,otsukaresama
秘密,himitsu
神秘,shinpi
秘書,hisho
被害,higai
被災,hisai
被曝,hibaku
お姫様,ohimesama
歌姫,utahime
美姫,biki
土俵,dohyou
土俵入り,dohyouiri
土俵際,dohyougiwa
病院,byouin
病気,byouki
白血病,hakketsubyou
横浜,yokohama
浜松,hamamatsu
砂浜,sunahama
敏感,binkan
過敏,kabin
鋭敏,eibin
浮かぶ,ukabu
浮上,fujou
浮気,uwaki
花粉,kafun
小麦粉,komugiko
粉塵,funjin
紛争,funsou
紛れ,magure
紛失,funshitsu
陛下,heika
天皇陛下,tennouheika
勉強,benkyou
勤勉,kinben
勉学,bengaku
哺乳類,honyuurui
哺乳,honyuu
逮捕,taiho
捕獲,hokaku
捕鯨,hogei
年俸,nenpou
減俸,genpou
模倣,mohou
倣う,narau
最高峰,saikouhou
秀峰,shuuhou
巨峰,kyohou
砲撃,hougeki
発砲,happou
大砲,taihou
解剖,kaibou
紡績,bouseki
紡ぐ,tsumugu
混紡,konbou
埋める,uzumeru
埋め立て,umetate
埋め込む,umekomu
文脈,bunmyaku
人脈,jinmyaku
動脈,doumyaku
睡眠,suimin
眠り,nemuri
眠い,nemui
孫娘,magomusume
愛娘,manamusume
一人娘,hitorimusume
冥福,meifuku
冥利,myouri
冥土,meido
消耗,shoumou
摩耗,mamou
指紋,shimon
波紋,hamon
紋章,monshou
内容,naiyou
美容,biyou
容量,youryou
入浴,nyuuyoku
浴衣,yukata
浴びる,abiru
流れ,nagare
交流,kouryuu
流し,nagashi
留学,ryuugaku
留め,tome
留学生,ryuugakusei
恐竜,kyouryuu
竜馬,ryuume
竜眼,ryuugan
旅行,ryokou
旅館,ryokan
旅人,tabibito
料理,ryouri
無料,muryou
料金,ryoukin
倫理,rinri
不倫,furin
絶倫,zetsurin
涙腺,ruisen
涙する,namidasuru
感涙,kanrui
強烈,kyouretsu
猛烈,mouretsu
熱烈,netsuretsu
恋愛,ren'ai
恋人,koibito
恋しい,koishii
連絡,renraku
関連,kanren
連れ,tsure
朗読,roudoku
朗報,rouhou
朗々,rourou
放浪,hourou
浪費,rouhi
浪人,rounin
脇役,wakiyaku
脇腹,wakibara
脇道,wakimichi
悪い,warui
最悪,saiaku
悪化,akka
中尉,chuui
少尉,shoui
大尉,taii
異なる,kotonaru
異常,ijou
異なり,kotonari
移動,idou
移行,ikou
移転,iten
萎縮,ishuku
萎える,naeru
地域,chiiki
領域,ryouiki
区域,kuiki
秀逸,shuuitsu
逸話,itsuwa
逸脱,itsudatsu
淫ら,midara
淫乱,inran
淫行,inkou
陰謀,inbou
日陰,hikage
陰陽,in'you
血液,ketsueki
液晶,ekishou
液体,ekitai
お菓子,okashi
菓子,kashi
和菓子,wagashi
通貨,tsuuka
雑貨,zakka
貨幣,kahei
機械,kikai
器械体操,kikaitaisou
崖っぷち,gakeppuchi
断崖,dangai
断崖絶壁,dangaizeppeki
生涯,shougai
境涯,kyougai
天涯,tengai
地殻,chikaku
貝殻,kaigara
抜け殻,nukegara
輪郭,rinkaku
遊郭,yuukaku
外郭,gaikaku
掛け,kake
仕掛け,shikake
掛かる,kakaru
喝采,kassai
恫喝,doukatsu
喝破,kappa
枯渇,kokatsu
渇望,katsubou
渇き,kawaki
乾燥,kansou
乾杯,kanpai
乾き,kawaki
勘違い,kanchigai
勘弁,kanben
勘定,kanjou
患者,kanja
疾患,shikkan
患部,kanbu
一貫,ikkan
貫く,tsuranuku
貫通,kantsuu
眼鏡,megane
一眼,ichigan
眼科,ganka
基本,kihon
基準,kijun
基礎,kiso
寄付,kifu
寄せ,yose
寄り,yori
規模,kibo
規制,kisei
規定,kitei
亀裂,kiretsu
偽善,gizen
偽装,gisou
真偽,shingi
春菊,shungiku
白菊,shiragiku
